Remove Pin=U?A-14 From Net=NRST
Remove Pin=U?A-47 From Net=TRIG_NEG_
Remove Pin=U?A-77 From Net=PA15
Remove Pin=U?A-84 From Net=PD3
Change Component Designator: OldDesignator=? NewDesignator=12IN
Change Component Designator: OldDesignator=C? NewDesignator=C1
Change Component Designator: OldDesignator=C? NewDesignator=C2
Change Component Designator: OldDesignator=C? NewDesignator=C3
Change Component Designator: OldDesignator=C? NewDesignator=C4
Change Component Designator: OldDesignator=C? NewDesignator=C5
Change Component Designator: OldDesignator=C? NewDesignator=C6
Change Component Designator: OldDesignator=C? NewDesignator=C7
Change Component Designator: OldDesignator=C? NewDesignator=C8
Change Component Designator: OldDesignator=C? NewDesignator=C10
Change Component Designator: OldDesignator=C? NewDesignator=C11
Change Component Designator: OldDesignator=C? NewDesignator=C12
Change Component Designator: OldDesignator=C? NewDesignator=C13
Change Component Designator: OldDesignator=C? NewDesignator=C14
Change Component Designator: OldDesignator=C? NewDesignator=C15
Change Component Designator: OldDesignator=C? NewDesignator=C16
Change Component Designator: OldDesignator=C? NewDesignator=C17
Change Component Designator: OldDesignator=C? NewDesignator=C18
Change Component Designator: OldDesignator=C? NewDesignator=C19
Change Component Designator: OldDesignator=C? NewDesignator=C20
Change Component Designator: OldDesignator=C? NewDesignator=C21
Change Component Designator: OldDesignator=C? NewDesignator=C22
Change Component Designator: OldDesignator=C? NewDesignator=C23
Change Component Designator: OldDesignator=C? NewDesignator=C24
Change Component Designator: OldDesignator=C? NewDesignator=C25
Change Component Designator: OldDesignator=C? NewDesignator=C26
Change Component Designator: OldDesignator=C? NewDesignator=C27
Change Component Designator: OldDesignator=C? NewDesignator=C28A
Change Component Designator: OldDesignator=C28A NewDesignator=C28B
Change Component Designator: OldDesignator=D? NewDesignator=D1A
Change Component Designator: OldDesignator=D? NewDesignator=D2A
Change Component Designator: OldDesignator=D1A NewDesignator=D1B
Change Component Designator: OldDesignator=D2A NewDesignator=D2B
Change Component Designator: OldDesignator=D1B NewDesignator=D1C
Change Component Designator: OldDesignator=D2B NewDesignator=D2C
Change Component Designator: OldDesignator=D1C NewDesignator=D1D
Change Component Designator: OldDesignator=D2C NewDesignator=D2D
Change Component Designator: OldDesignator=D1D NewDesignator=D1E
Change Component Designator: OldDesignator=D2D NewDesignator=D2E
Change Component Designator: OldDesignator=D1E NewDesignator=D1F
Change Component Designator: OldDesignator=D1F NewDesignator=D1G
Change Component Designator: OldDesignator=D1G NewDesignator=D1H
Change Component Designator: OldDesignator=D1H NewDesignator=D1I
Change Component Designator: OldDesignator=D1I NewDesignator=D1J
Change Component Designator: OldDesignator=D1J NewDesignator=D1K
Change Component Designator: OldDesignator=D1K NewDesignator=D1L
Change Component Designator: OldDesignator=D1L NewDesignator=D1M
Change Component Designator: OldDesignator=D1M NewDesignator=D1N
Change Component Designator: OldDesignator=D1N NewDesignator=D1O
Change Component Designator: OldDesignator=D1O NewDesignator=D1P
Change Component Designator: OldDesignator=D1P NewDesignator=D1Q
Change Component Designator: OldDesignator=L? NewDesignator=L1
Change Component Designator: OldDesignator=LED? NewDesignator=LED1
Change Component Designator: OldDesignator=LED? NewDesignator=LED2
Change Component Designator: OldDesignator=LED? NewDesignator=LED3
Change Component Designator: OldDesignator=LED? NewDesignator=LED4
Change Component Designator: OldDesignator=P? NewDesignator=P1
Change Component Designator: OldDesignator=P? NewDesignator=P2
Change Component Designator: OldDesignator=PB? NewDesignator=PB1
Change Component Designator: OldDesignator=Q? NewDesignator=Q8
Change Component Designator: OldDesignator=Q? NewDesignator=Q9
Change Component Designator: OldDesignator=Q? NewDesignator=Q10
Change Component Designator: OldDesignator=Q? NewDesignator=Q11
Change Component Designator: OldDesignator=Q? NewDesignator=Q1A
Change Component Designator: OldDesignator=Q? NewDesignator=Q2A
Change Component Designator: OldDesignator=Q? NewDesignator=Q3A
Change Component Designator: OldDesignator=Q? NewDesignator=Q4A
Change Component Designator: OldDesignator=Q? NewDesignator=Q5O
Change Component Designator: OldDesignator=Q? NewDesignator=Q6A
Change Component Designator: OldDesignator=Q? NewDesignator=Q7A
Change Component Designator: OldDesignator=Q1A NewDesignator=Q1B
Change Component Designator: OldDesignator=Q2A NewDesignator=Q2B
Change Component Designator: OldDesignator=Q3A NewDesignator=Q3B
Change Component Designator: OldDesignator=Q4A NewDesignator=Q4B
Change Component Designator: OldDesignator=Q5O NewDesignator=Q5A
Change Component Designator: OldDesignator=Q6A NewDesignator=Q6B
Change Component Designator: OldDesignator=Q7A NewDesignator=Q7B
Change Component Designator: OldDesignator=Q1B NewDesignator=Q1C
Change Component Designator: OldDesignator=Q2B NewDesignator=Q2C
Change Component Designator: OldDesignator=Q3B NewDesignator=Q3C
Change Component Designator: OldDesignator=Q4B NewDesignator=Q4C
Change Component Designator: OldDesignator=Q5A NewDesignator=Q5B
Change Component Designator: OldDesignator=Q6B NewDesignator=Q6C
Change Component Designator: OldDesignator=Q7B NewDesignator=Q7C
Change Component Designator: OldDesignator=Q1C NewDesignator=Q1D
Change Component Designator: OldDesignator=Q2C NewDesignator=Q2D
Change Component Designator: OldDesignator=Q3C NewDesignator=Q3D
Change Component Designator: OldDesignator=Q4C NewDesignator=Q4D
Change Component Designator: OldDesignator=Q5B NewDesignator=Q5C
Change Component Designator: OldDesignator=Q6C NewDesignator=Q6D
Change Component Designator: OldDesignator=Q7C NewDesignator=Q7D
Change Component Designator: OldDesignator=Q1D NewDesignator=Q1E
Change Component Designator: OldDesignator=Q2D NewDesignator=Q2E
Change Component Designator: OldDesignator=Q3D NewDesignator=Q3E
Change Component Designator: OldDesignator=Q4D NewDesignator=Q4E
Change Component Designator: OldDesignator=Q5C NewDesignator=Q5D
Change Component Designator: OldDesignator=Q6D NewDesignator=Q6E
Change Component Designator: OldDesignator=Q7D NewDesignator=Q7E
Change Component Designator: OldDesignator=Q3E NewDesignator=Q3F
Change Component Designator: OldDesignator=Q4E NewDesignator=Q4F
Change Component Designator: OldDesignator=Q5D NewDesignator=Q5E
Change Component Designator: OldDesignator=Q6E NewDesignator=Q6F
Change Component Designator: OldDesignator=Q7E NewDesignator=Q7F
Change Component Designator: OldDesignator=Q3F NewDesignator=Q3G
Change Component Designator: OldDesignator=Q4F NewDesignator=Q4G
Change Component Designator: OldDesignator=Q5E NewDesignator=Q5F
Change Component Designator: OldDesignator=Q6F NewDesignator=Q6G
Change Component Designator: OldDesignator=Q7F NewDesignator=Q7G
Change Component Designator: OldDesignator=Q5F NewDesignator=Q5G
Change Component Designator: OldDesignator=Q6G NewDesignator=Q6H
Change Component Designator: OldDesignator=Q7G NewDesignator=Q7H
Change Component Designator: OldDesignator=Q5G NewDesignator=Q5H
Change Component Designator: OldDesignator=Q6H NewDesignator=Q6I
Change Component Designator: OldDesignator=Q7H NewDesignator=Q7I
Change Component Designator: OldDesignator=Q5H NewDesignator=Q5I
Change Component Designator: OldDesignator=Q6I NewDesignator=Q6J
Change Component Designator: OldDesignator=Q7I NewDesignator=Q7J
Change Component Designator: OldDesignator=Q5I NewDesignator=Q5J
Change Component Designator: OldDesignator=Q6J NewDesignator=Q6K
Change Component Designator: OldDesignator=Q7J NewDesignator=Q7K
Change Component Designator: OldDesignator=Q5J NewDesignator=Q5K
Change Component Designator: OldDesignator=Q6K NewDesignator=Q6L
Change Component Designator: OldDesignator=Q7K NewDesignator=Q7L
Change Component Designator: OldDesignator=Q5K NewDesignator=Q5L
Change Component Designator: OldDesignator=Q6L NewDesignator=Q6M
Change Component Designator: OldDesignator=Q7L NewDesignator=Q7M
Change Component Designator: OldDesignator=Q5L NewDesignator=Q5M
Change Component Designator: OldDesignator=Q6M NewDesignator=Q6N
Change Component Designator: OldDesignator=Q7M NewDesignator=Q7N
Change Component Designator: OldDesignator=Q5M NewDesignator=Q5N
Change Component Designator: OldDesignator=Q6N NewDesignator=Q6O
Change Component Designator: OldDesignator=Q7N NewDesignator=Q7O
Change Component Designator: OldDesignator=Q6O NewDesignator=Q6P
Change Component Designator: OldDesignator=Q7O NewDesignator=Q7P
Change Component Designator: OldDesignator=Q6P NewDesignator=Q6Q
Change Component Designator: OldDesignator=Q7P NewDesignator=Q7Q
Change Component Designator: OldDesignator=R? NewDesignator=R7
Change Component Designator: OldDesignator=R? NewDesignator=R8
Change Component Designator: OldDesignator=R? NewDesignator=R9
Change Component Designator: OldDesignator=R? NewDesignator=R10
Change Component Designator: OldDesignator=R? NewDesignator=R11
Change Component Designator: OldDesignator=R? NewDesignator=R12
Change Component Designator: OldDesignator=R? NewDesignator=R13
Change Component Designator: OldDesignator=R? NewDesignator=R14
Change Component Designator: OldDesignator=R? NewDesignator=R15
Change Component Designator: OldDesignator=R? NewDesignator=R16
Change Component Designator: OldDesignator=R? NewDesignator=R17
Change Component Designator: OldDesignator=R? NewDesignator=R18
Change Component Designator: OldDesignator=R? NewDesignator=R20
Change Component Designator: OldDesignator=R? NewDesignator=R1A
Change Component Designator: OldDesignator=R? NewDesignator=R2A
Change Component Designator: OldDesignator=R? NewDesignator=R3A
Change Component Designator: OldDesignator=R? NewDesignator=R4O
Change Component Designator: OldDesignator=R? NewDesignator=R5O
Change Component Designator: OldDesignator=R? NewDesignator=R6A
Change Component Designator: OldDesignator=R? NewDesignator=R19A
Change Component Designator: OldDesignator=R1A NewDesignator=R1B
Change Component Designator: OldDesignator=R2A NewDesignator=R2B
Change Component Designator: OldDesignator=R3A NewDesignator=R3B
Change Component Designator: OldDesignator=R4O NewDesignator=R4A
Change Component Designator: OldDesignator=R5O NewDesignator=R5A
Change Component Designator: OldDesignator=R6A NewDesignator=R6B
Change Component Designator: OldDesignator=R19A NewDesignator=R19B
Change Component Designator: OldDesignator=R1B NewDesignator=R1C
Change Component Designator: OldDesignator=R2B NewDesignator=R2C
Change Component Designator: OldDesignator=R3B NewDesignator=R3C
Change Component Designator: OldDesignator=R4A NewDesignator=R4B
Change Component Designator: OldDesignator=R5A NewDesignator=R5B
